Чизбургер-пицца,https://dodopizza-a.akamaihd.net/static/Img/Products/Pizza/ru-RU/9229e2c4-fd5c-496f-9b29-356f899b30cf.jpg,"['Соус бургер', ' мясной соус болоньезе', ' красный лук', ' моцарелла', ' томаты и соленые огурчики']","['695', '565', '375']"
Крэйзи пепперони,https://dodopizza-a.akamaihd.net/static/Img/Products/Pizza/ru-RU/67234f6e-0a2d-4176-96c7-61f84c592607.jpg,"['Пикантная пепперони', ' цыпленок', ' моцарелла', ' томатный соус и кисло-сладкий соус']","['695', '565', '375']"
Креветки по-азиатски,https://dodopizza-a.akamaihd.net/static/Img/Products/Pizza/ru-RU/2bf6e509-4ee0-4f6b-90ad-9456aa8bb0b0.jpg,"['Креветки', ' шампиньоны', ' моцарелла', ' кисло-сладкий соус и черный кунжут']","['695', '565', '375']"
Пицца Том Ям  🌶️,https://dodopizza-a.akamaihd.net/static/Img/Products/Pizza/ru-RU/6682b9fc-f254-4e32-b9db-31708b8cfc33.jpg,"['Соус том ям', ' креветки', ' шампиньоны', ' томаты', ' сладкий перец', ' цыпленок и моцарелла']","['745', '625', '425']"
Пицца из половинок,https://dodopizza-a.akamaihd.net/static/Img/Products/Pizza/ru-RU/77b8b7bb-fe6d-4d78-beff-4c7b455ded68.jpg,['Соберите свою пиццу 35 см с двумя разными вкусами'],['0']
Пепперони  🌶️,https://dodopizza-a.akamaihd.net/static/Img/Products/Pizza/ru-RU/ac9d52d6-4fd6-4288-8716-da0d61bd6d27.jpg,"['Пикантная пепперони', ' томатный соус и моцарелла']","['695', '565', '375']"
Четыре сыра  🌱,https://dodopizza-a.akamaihd.net/static/Img/Products/Pizza/ru-RU/c3aec3e4-f2af-4569-a071-c9ea7cfc89a9.jpg,"['Сливочный соус', ' сыр блю чиз', ' моцарелла и смесь сыров чеддер и пармезан']","['745', '625', '425']"
Додо,https://dodopizza-a.akamaihd.net/static/Img/Products/Pizza/ru-RU/395a306e-7f19-476c-a524-d1ed3f752f12.jpg,"['Ветчина', ' фарш из говядины', ' пикантная пепперони', ' томатный соус', ' шампиньоны', ' сладкий перец', ' красный лук', ' моцарелла и маслины']","['745', '625', '425']"
Мясная  🌶️,https://dodopizza-a.akamaihd.net/static/Img/Products/Pizza/ru-RU/95920196-dec6-4bf8-bf82-bd1914e948b4.jpg,"['Цыпленок', ' ветчина', ' пикантная пепперони', ' томатный соус', ' острая чоризо и моцарелла']","['745', '625', '425']"
Мексиканская  🌶️,https://dodopizza-a.akamaihd.net/static/Img/Products/Pizza/ru-RU/7f348c3a-156c-408e-a4d6-364e507b8bdb.jpg,"['Цыпленок', ' томатный соус', ' сладкий перец', ' красный лук', ' моцарелла', ' острый халапеньо', ' томаты и соус сальса']","['745', '625', '425']"
Ветчина и грибы,https://dodopizza-a.akamaihd.net/static/Img/Products/Pizza/ru-RU/912501d6-28fb-47f0-8fde-a857e6cb528a.jpg,"['Ветчина', ' томатный соус', ' шампиньоны и моцарелла']","['615', '475', '325']"
Маргарита  🌱,https://dodopizza-a.akamaihd.net/static/Img/Products/Pizza/ru-RU/daf3bb18-400e-49bf-9325-52af8b92099d.jpg,"['Итальянские травы', ' томатный соус', ' моцарелла и томаты']","['615', '475', '325']"
Гавайская,https://dodopizza-a.akamaihd.net/static/Img/Products/Pizza/ru-RU/b5a6bd9b-cd1a-4b72-ab39-14f8a0f0c84e.jpg,"['Цыпленок', ' томатный соус', ' моцарелла и ананасы']","['695', '565', '375']"
Сырная  🌱,https://dodopizza-a.akamaihd.net/static/Img/Products/Pizza/ru-RU/9dfe5ea3-8195-46a0-924c-40d91f046c25.jpg,['Томатный соус и моцарелла'],"['615', '475', '325']"
Пицца-пирог  🌱,https://dodopizza-a.akamaihd.net/static/Img/Products/Pizza/ru-RU/dc0763d8-9298-4bdc-86ff-6fb995b1207b.jpg,"['Молоко сгущенное', ' брусника и ананасы']","['615', '475', '325']"
Четыре сезона,https://dodopizza-a.akamaihd.net/static/Img/Products/Pizza/ru-RU/bbd157cd-b90c-45a3-9b2f-f727fcc7f69d.jpg,"['Итальянские травы', ' ветчина', ' пикантная пепперони', ' томатный соус', ' кубики брынзы', ' шампиньоны', ' моцарелла и томаты']","['695', '565', '375']"
Супермясная  🌶️,https://dodopizza-a.akamaihd.net/static/Img/Products/Pizza/ru-RU/9b658d8b-5507-4753-8fa5-5b929625609e.jpg,"['Цыпленок', ' фарш из говядины', ' пикантная пепперони', ' томатный соус', ' острая чоризо', ' моцарелла и бекон']","['815', '675', '465']"
Двойная пепперони  🌶️,https://dodopizza-a.akamaihd.net/static/Img/Products/Pizza/ru-RU/18a04b2b-a66a-4535-a5db-0e639844b745.jpg,"['Пикантная пепперони', ' томатный соус и моцарелла']","['745', '625', '425']"
Цыпленок ранч,https://dodopizza-a.akamaihd.net/static/Img/Products/Pizza/ru-RU/c18d1b29-26d0-483f-a6b2-fafdb4028761.jpg,"['Цыпленок', ' ветчина', ' соус ранч', ' моцарелла', ' томаты и чеснок']","['745', '625', '425']"
Сырный цыпленок,https://dodopizza-a.akamaihd.net/static/Img/Products/Pizza/ru-RU/d518835f-2c6d-4fd1-a9c7-3f1bd829b4e6.jpg,"['Сырный соус', ' цыпленок', ' томаты и моцарелла']","['695', '565', '375']"
Овощи и грибы  🌱,https://dodopizza-a.akamaihd.net/static/Img/Products/Pizza/ru-RU/a15630bf-34f8-4512-b7c3-ee47248fa050.jpg,"['Итальянские травы', ' томатный соус', ' кубики брынзы', ' шампиньоны', ' сладкий перец', ' красный лук', ' моцарелла', ' маслины и томаты']","['695', '565', '375']"
Итальянская,https://dodopizza-a.akamaihd.net/static/Img/Products/Pizza/ru-RU/8a4fe998-e720-4ad3-9d71-44629d8cf407.jpg,"['Итальянские травы', ' пикантная пепперони', ' томатный соус', ' шампиньоны', ' моцарелла и маслины']","['695', '565', '375']"
Цыпленок барбекю,https://dodopizza-a.akamaihd.net/static/Img/Products/Pizza/ru-RU/aeae38c4-b9a8-4f43-957c-d13a5da24b22.jpg,"['Цыпленок', ' соус барбекю', ' томатный соус', ' красный лук', ' моцарелла и бекон']","['745', '625', '425']"
Дон Бекон,https://dodopizza-a.akamaihd.net/static/Img/Products/Pizza/ru-RU/0da4ea05-1fe4-4667-8950-c4593e81eb0c.jpg,"['Цыпленок', ' пикантная пепперони', ' томатный соус', ' красный лук', ' моцарелла и бекон']","['745', '625', '425']"
